"LC1.agr","LC2.for","LC3.gr","LC4.wgr","LC5.wetl","LC6.riv","LC7.bu","LC8.barr","LC9.CN","LC10.man","LC11.fl","W1.ws","W2.tmin","W3.tmax","W4.pcp","W5.rh","O.obs","P.bd1","P.br1","P.cl1","P.sa1","P.si1","P.dem1","P.sl1","P.bd2","P.br2","P.cl2","P.sa2","P.si2","P.dem2","P.sl2","P.bd3","P.br3","P.cl3","P.sa3","P.si3","P.dem3","P.sl3","P.bd4","P.br4","P.cl4","P.sa4","P.si4","P.dem4","P.sl4","P.bd5","P.br5","P.cl5","P.sa5","P.si5","P.dem5","P.sl5","date","W6.pcpw","W7.pcpm","W8.pcpmx","C.area","C.basin","C.size","C.clim","C.mo"
3333.110682,22374.33825889,816.759245,0,0,48.69637887,49.86,0,63.3478879339856,0.528898477927202,588.37543773,2,26.6,14.8,0,72.17120438,2.74," 160","3886","  27"," 223","1724","0","1011"," 322","1576"," 209","2921","2952","0","1193","1898","  15"," 925","2130"," 513","1693","1470","2546","0","3273"," 203"," 261","2943","1425"," 551","0","1043","0","  27"," 841"," 378",2006-05-01,2.75714285714286,3.36774193548387,15.2,27211.1399999573,4,"small",3,5
3333.110682,22374.33825889,816.759245,0,0,48.69637887,49.86,0,63.3478879339856,0.528898477927202,588.37543773,2,33,23.4,0,76.42781022,2.59," 160","3886","  27"," 223","1724","0","1011"," 322","1576"," 209","2921","2952","0","1193","1898","  15"," 925","2130"," 513","1693","1470","2546","0","3273"," 203"," 261","2943","1425"," 551","0","1043","0","  27"," 841"," 378",2006-05-02,2.75714285714286,3.36774193548387,15.2,27211.1399999573,4,"small",3,5
3333.110682,22374.33825889,816.759245,0,0,48.69637887,49.86,0,63.3478879339856,0.528898477927202,588.37543773,1,32.4,24.2,0,85.21094891,2.59," 160","3886","  27"," 223","1724","0","1011"," 322","1576"," 209","2921","2952","0","1193","1898","  15"," 925","2130"," 513","1693","1470","2546","0","3273"," 203"," 261","2943","1425"," 551","0","1043","0","  27"," 841"," 378",2006-05-03,2.75714285714286,3.36774193548387,15.2,27211.1399999573,4,"small",3,5
3333.110682,22374.33825889,816.759245,0,0,48.69637887,49.86,0,63.3478879339856,0.528898477927202,588.37543773,2,32.2,23.8,0,81.84058394,2.14," 160","3886","  27"," 223","1724","0","1011"," 322","1576"," 209","2921","2952","0","1193","1898","  15"," 925","2130"," 513","1693","1470","2546","0","3273"," 203"," 261","2943","1425"," 551","0","1043","0","  27"," 841"," 378",2006-05-04,2.75714285714286,3.36774193548387,15.2,27211.1399999573,4,"small",3,5
3333.110682,22374.33825889,816.759245,0,0,48.69637887,49.86,0,63.3478879339856,0.528898477927202,588.37543773,1,24.2,14.8,4.1,87.07153285,2.14," 160","3886","  27"," 223","1724","0","1011"," 322","1576"," 209","2921","2952","0","1193","1898","  15"," 925","2130"," 513","1693","1470","2546","0","3273"," 203"," 261","2943","1425"," 551","0","1043","0","  27"," 841"," 378",2006-05-05,2.75714285714286,3.36774193548387,15.2,27211.1399999573,4,"small",3,5
3333.110682,22374.33825889,816.759245,0,0,48.69637887,49.86,0,63.3478879339856,0.528898477927202,588.37543773,1,30.3,23.5,0,89.88018248,1.84," 160","3886","  27"," 223","1724","0","1011"," 322","1576"," 209","2921","2952","0","1193","1898","  15"," 925","2130"," 513","1693","1470","2546","0","3273"," 203"," 261","2943","1425"," 551","0","1043","0","  27"," 841"," 378",2006-05-06,2.75714285714286,3.36774193548387,15.2,27211.1399999573,4,"small",3,5
3333.110682,22374.33825889,816.759245,0,0,48.69637887,49.86,0,63.3478879339856,0.528898477927202,588.37543773,3,24.2,14,15.2,81.73485401,1.69," 160","3886","  27"," 223","1724","0","1011"," 322","1576"," 209","2921","2952","0","1193","1898","  15"," 925","2130"," 513","1693","1470","2546","0","3273"," 203"," 261","2943","1425"," 551","0","1043","0","  27"," 841"," 378",2006-05-07,3.07142857142857,3.36774193548387,13,27211.1399999573,4,"small",3,5
3333.110682,22374.33825889,816.759245,0,0,48.69637887,49.86,0,63.3478879339856,0.528898477927202,588.37543773,2,25,16,0.5,85.29551095,1.54," 160","3886","  27"," 223","1724","0","1011"," 322","1576"," 209","2921","2952","0","1193","1898","  15"," 925","2130"," 513","1693","1470","2546","0","3273"," 203"," 261","2943","1425"," 551","0","1043","0","  27"," 841"," 378",2006-05-08,3.07142857142857,3.36774193548387,13,27211.1399999573,4,"small",3,5
3333.110682,22374.33825889,816.759245,0,0,48.69637887,49.86,0,63.3478879339856,0.528898477927202,588.37543773,4,22.8,12.4,0,77.31390511,1.54," 160","3886","  27"," 223","1724","0","1011"," 322","1576"," 209","2921","2952","0","1193","1898","  15"," 925","2130"," 513","1693","1470","2546","0","3273"," 203"," 261","2943","1425"," 551","0","1043","0","  27"," 841"," 378",2006-05-09,3.07142857142857,3.36774193548387,13,27211.1399999573,4,"small",3,5
3333.110682,22374.33825889,816.759245,0,0,48.69637887,49.86,0,63.3478879339856,0.528898477927202,588.37543773,6,28.5,20.6,0,77.37182482,1.24," 160","3886","  27"," 223","1724","0","1011"," 322","1576"," 209","2921","2952","0","1193","1898","  15"," 925","2130"," 513","1693","1470","2546","0","3273"," 203"," 261","2943","1425"," 551","0","1043","0","  27"," 841"," 378",2006-05-10,3.07142857142857,3.36774193548387,13,27211.1399999573,4,"small",3,5
